seed,cenario,algoritmo,num_processos,total_seeds,quantum,custo_troca,turnaround_medio,trocas_contexto,slowdown_medio,jain_slowdown_pct
14,cpu_bound,fcfs,1000,100,4,1,20012.989,1508,491.60209738393695,77.67415287283711
14,cpu_bound,prioridade,1000,100,4,1,17941.876,1508,496.7761711854912,57.16683455658018
14,cpu_bound,round_robin,1000,100,4,1,34210.623,10738,852.7094810639226,94.4915611411128
14,equilibrado,epa,1000,100,4,1,21815.259,3526,512.8701955120052,34.20140660401617
14,equilibrado,fcfs,1000,100,4,1,22813.642,3526,519.9938338789128,45.03574169715395
14,equilibrado,prioridade,1000,100,4,1,18617.504,3526,768.5449364801823,11.857901667733021
14,equilibrado,round_robin,1000,100,4,1,28606.087,10539,596.719342745137,81.8483580180092
14,io_bound,epa,1000,100,4,1,9950.107,6516,204.25000884241072,62.180452506991756
14,io_bound,fcfs,1000,100,4,1,16191.667,6524,309.20710333938246,92.94535244745711
14,io_bound,prioridade,1000,100,4,1,11178.147,6524,225.82135805226187,65.63647944002909
14,io_bound,round_robin,1000,100,4,1,16191.667,6524,309.20710333938246,92.94535244745711
14,prioridades_desbalanceadas,epa,1000,100,4,1,21787.28,3526,501.56101462700747,39.6045820100482
14,prioridades_desbalanceadas,fcfs,1000,100,4,1,22740.231,3526,506.7566342761749,49.13044818516252
14,prioridades_desbalanceadas,prioridade,1000,100,4,1,19187.732,3526,652.9284264202441,14.516363583990092
14,prioridades_desbalanceadas,round_robin,1000,100,4,1,28583.896,10552,590.9399476317731,83.00265728757184
15,cpu_bound,epa,1000,100,4,1,21448.383,1523,479.69391682714644,82.57057704082274
15,cpu_bound,fcfs,1000,100,4,1,20625.481,1523,488.2051273133212,78.82024630774046
15,cpu_bound,prioridade,1000,100,4,1,18226.546,1523,483.1904655537111,58.265300997387506
15,cpu_bound,round_robin,1000,100,4,1,35265.99,11035,852.5138829730728,94.99393856038076
15,equilibrado,epa,1000,100,4,1,22259.512,3565,518.4185560206623,30.05359017130745
15,equilibrado,fcfs,1000,100,4,1,23227.83,3566,525.5694391228309,37.61824048980771
15,equilibrado,prioridade,1000,100,4,1,18876.646,3566,734.8780930233464,11.673439390849724
15,equilibrado,round_robin,1000,100,4,1,29393.303,10692,605.1869964472966,78.5408215258853
15,io_bound,epa,1000,100,4,1,10081.537,6557,206.08982497332266,61.208601055771396
15,io_bound,fcfs,1000,100,4,1,16326.461,6565,307.6466800980277,93.36748648028781
15,io_bound,prioridade,1000,100,4,1,11285.327,6565,225.93534462685162,63.75628801732174
15,io_bound,round_robin,1000,100,4,1,16326.461,6565,307.6466800980277,93.36748648028781
15,prioridades_desbalanceadas,epa,1000,100,4,1,22243.648,3566,501.14647031973806,40.08216060780994
15,prioridades_desbalanceadas,fcfs,1000,100,4,1,23332.177,3566,518.7355509635616,44.5678584674495
15,prioridades_desbalanceadas,prioridade,1000,100,4,1,19946.788,3566,710.7948417454392,15.78903857548857
15,prioridades_desbalanceadas,round_robin,1000,100,4,1,29134.752,10752,596.479020731635,81.25239340347979
16,cpu_bound,epa,1000,100,4,1,21075.399,1489,478.8908390807528,81.8919054201337
16,cpu_bound,fcfs,1000,100,4,1,20078.542,1489,485.21925476563496,77.93216712776794
16,cpu_bound,prioridade,1000,100,4,1,18151.898,1489,493.8922916746885,57.42794033215118
16,cpu_bound,round_robin,1000,100,4,1,34733.909,10895,854.0983922256713,94.6098170797641
16,equilibrado,epa,1000,100,4,1,21791.328,3467,532.6783916109879,32.53053543536019
16,equilibrado,fcfs,1000,100,4,1,22633.536,3468,530.0648298590899,45.5790574045009
16,equilibrado,prioridade,1000,100,4,1,18300.546,3468,716.5112762718725,13.669581797756043
16,equilibrado,round_robin,1000,100,4,1,28542.413,10415,605.006051703325,82.0891862150041
16,io_bound,epa,1000,100,4,1,10096.063,6458,215.19833037218072,61.75835809698936
16,io_bound,fcfs,1000,100,4,1,16079.23,6468,311.43303329471337,93.083269785236
16,io_bound,prioridade,1000,100,4,1,11251.003,6468,234.37420854300782,64.27864493177134
16,io_bound,round_robin,1000,100,4,1,16079.23,6468,311.43303329471337,93.083269785236
16,prioridades_desbalanceadas,epa,1000,100,4,1,21936.268,3467,504.9897633984424,42.41558498462447
16,prioridades_desbalanceadas,fcfs,1000,100,4,1,22678.225,3468,522.0056138826698,43.959683913713114
16,prioridades_desbalanceadas,prioridade,1000,100,4,1,18874.9,3468,680.4757132201685,16.031535372968523
16,prioridades_desbalanceadas,round_robin,1000,100,4,1,28802.837,10443,611.406309070725,81.31912050852702
17,cpu_bound,epa,1000,100,4,1,20328.325,1469,476.39273123666817,81.05591237679882
17,cpu_bound,fcfs,1000,100,4,1,19515.231,1469,481.0645263270613,77.70782676892236
17,cpu_bound,prioridade,1000,100,4,1,17775.759,1469,502.68510848617234,57.400193528124596
17,cpu_bound,round_robin,1000,100,4,1,33744.941,10653,849.2664898460616,94.20703296197638
17,equilibrado,epa,1000,100,4,1,21628.494,3417,515.9568082922691,40.61388086778358
17,equilibrado,fcfs,1000,100,4,1,22248.603,3418,523.592246476252,48.22431467874935
17,equilibrado,prioridade,1000,100,4,1,18422.057,3418,746.5970984959645,14.311508965659073
17,equilibrado,round_robin,1000,100,4,1,27959.229,10355,598.2366370377232,82.9275943512494
17,io_bound,epa,1000,100,4,1,9914.433,6410,208.56701014270584,63.02731924790104
17,io_bound,fcfs,1000,100,4,1,16017.025,6417,313.4771651245128,93.00635380952264
17,io_bound,prioridade,1000,100,4,1,11089.647,6417,228.35676349990894,66.00923222164771
17,io_bound,round_robin,1000,100,4,1,16017.025,6417,313.4771651245128,93.00635380952264
17,prioridades_desbalanceadas,epa,1000,100,4,1,21354.111,3418,495.5708383339294,53.7419926772689
17,prioridades_desbalanceadas,fcfs,1000,100,4,1,22070.738,3418,521.2587996246658,49.52910055405571
17,prioridades_desbalanceadas,prioridade,1000,100,4,1,18724.47,3418,664.2464688779569,20.932155921890256
17,prioridades_desbalanceadas,round_robin,1000,100,4,1,27606.907,10245,593.1617546218444,82.81846526878694
18,cpu_bound,epa,1000,100,4,1,20621.205,1500,478.73756731404563,81.51042538360093
18,cpu_bound,fcfs,1000,100,4,1,19664.981,1500,487.92164792358454,77.145761708889
18,cpu_bound,prioridade,1000,100,4,1,17607.686,1500,488.55689957221523,56.18197710667295
18,cpu_bound,round_robin,1000,100,4,1,33726.857,10793,840.1907880512449,93.95072573151363
18,equilibrado,epa,1000,100,4,1,21391.086,3512,511.2848837646785,41.26683753218066
18,equilibrado,fcfs,1000,100,4,1,22334.776,3512,524.0063257746987,45.725760317310815
18,equilibrado,prioridade,1000,100,4,1,18001.962,3512,727.4443008256839,17.23431287421561
18,equilibrado,round_robin,1000,100,4,1,27908.81,10379,583.3099554546657,81.76686208986004
18,io_bound,epa,1000,100,4,1,9767.713,6505,199.27768374891872,62.04338102718485
18,io_bound,fcfs,1000,100,4,1,16015.58,6512,305.85010810583606,92.86784517679158
18,io_bound,prioridade,1000,100,4,1,10889.481,6512,217.3907921393168,64.45272064528402
18,io_bound,round_robin,1000,100,4,1,16015.58,6512,305.85010810583606,92.86784517679158
18,prioridades_desbalanceadas,epa,1000,100,4,1,21965.774,3512,527.8287265486982,29.540108702149283
18,prioridades_desbalanceadas,fcfs,1000,100,4,1,22964.76,3512,551.3431287929357,37.75938252113685
18,prioridades_desbalanceadas,prioridade,1000,100,4,1,19334.725,3512,730.9647695170619,10.30159861189323
18,prioridades_desbalanceadas,round_robin,1000,100,4,1,28501.112,10546,601.9428638497861,78.63240764995801
19,cpu_bound,epa,1000,100,4,1,22261.382,1538,493.5491710682874,83.33814956862857
19,cpu_bound,fcfs,1000,100,4,1,21280.852,1538,497.77142609866655,78.86016063225847
19,cpu_bound,prioridade,1000,100,4,1,19058.501,1538,510.2520463485788,59.06614490486385
19,cpu_bound,round_robin,1000,100,4,1,35978.988,11225,854.1402843951018,94.7221491150878
19,equilibrado,epa,1000,100,4,1,23169.456,3603,522.4392486708396,34.35841566992822
19,equilibrado,fcfs,1000,100,4,1,24234.119,3604,543.8868766147572,43.33693941131302
19,equilibrado,prioridade,1000,100,4,1,19477.835,3604,705.7478397035992,11.525771984871511
19,equilibrado,round_robin,1000,100,4,1,30341.051,10872,613.9088673902099,81.91367517751527
19,io_bound,epa,1000,100,4,1,10137.673,6595,206.22799039109236,61.8136028807518
19,io_bound,fcfs,1000,100,4,1,16540.802,6604,313.04499028764263,93.04069023073559
19,io_bound,prioridade,1000,100,4,1,11366.608,6604,227.34367371433305,64.7038243512268
19,io_bound,round_robin,1000,100,4,1,16540.802,6604,313.04499028764263,93.04069023073559
19,prioridades_desbalanceadas,epa,1000,100,4,1,22816.703,3603,552.8332694862684,30.44490382882096
19,prioridades_desbalanceadas,fcfs,1000,100,4,1,23642.219,3604,548.4698327344842,43.77332110054062
